Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,137.170422,-147.666838,0,top
C2,10uF,C_0805_2012Metric,111.370422,-147.666841,180,top
C3,10uF,C_0805_2012Metric,135.138325,-84.389785,180,top
C4,4.7uF,C_0805_2012Metric,123.923324,-97.729783,90,top
C5,4.7uF,C_0805_2012Metric,126.323328,-97.729784,90,top
C6,1uF,C_0805_2012Metric,121.473326,-97.729785,90,top
C7,10uF,C_0805_2012Metric,139.572928,-88.611743,0,top
C8,1uF,C_0805_2012Metric,118.028325,-91.809781,0,top
C9,100nF,C_0805_2012Metric,118.028331,-94.209782,0,top
C10,0.1uF,C_0805_2012Metric,137.222928,-98.111742,90,top
C11,1nF,C_0805_2012Metric,116.462227,-81.391811,90,top
D1,D,D_SOD-123,23.160423,-76.596842,-5.5,top
D2,D,D_SOD-123,21.54042,-93.496843,-5.5,top
D3,D,D_SOD-123,19.870418,-110.466839,-5.5,top
D4,D,D_SOD-123,50.740417,-71.316841,-17,top
D5,D,D_SOD-123,45.77042,-87.596842,-17,top
D6,D,D_SOD-123,40.790416,-103.846843,-17,top
D7,D,D_SOD-123,72.30042,-73.056844,-21,top
D8,D,D_SOD-123,66.170424,-88.906841,-21,top
D9,D,D_SOD-123,60.070419,-104.776841,-21,top
D10,D,D_SOD-123,79.670417,-88.46684,-21,top
D11,D,D_SOD-123,81.550416,-99.086843,-21,top
D12,D,D_SOD-123,75.430423,-114.996843,-21,top
D13,D,D_SOD-123,81.000419,-138.566843,-21,top
D14,D,D_SOD-123,96.470419,-94.866839,-21,top
D15,D,D_SOD-123,98.390413,-105.53684,-21,top
D16,D,D_SOD-123,92.300416,-121.356843,-21,top
D17,D,D_SOD-123,102.871984,-151.04496,0,top
D18,D,D_SOD-123,143.900418,-89.656842,21,top
D19,D,D_SOD-123,149.950423,-105.536843,21,top
D20,D,D_SOD-123,156.080421,-121.456842,21,top
D21,D,D_SOD-123,136.596984,-158.269962,-90,top
D22,D,D_SOD-123,160.720422,-83.236841,21,top
D23,D,D_SOD-123,166.790418,-99.116845,21,top
D24,D,D_SOD-123,172.89042,-114.946844,21,top
D25,D,D_SOD-123,167.380421,-138.546847,21,top
D26,D,D_SOD-123,176.04042,-73.026842,21,top
D27,D,D_SOD-123,182.120419,-88.956844,21,top
D28,D,D_SOD-123,188.25042,-104.826839,21,top
D29,D,D_SOD-123,197.550421,-71.326844,17,top
D30,D,D_SOD-123,202.560415,-87.586842,17,top
D31,D,D_SOD-123,207.48042,-103.856843,17,top
D32,D,D_SOD-123,225.25042,-76.556841,5.5,top
D33,D,D_SOD-123,226.800417,-93.446842,5.5,top
D34,D,D_SOD-123,228.480415,-110.426843,5.5,top
D36,D_Schottky_Small,D_SOD-323_HandSoldering,140.138327,-83.354783,180,top
D37,gween,D_0805_2012Metric,137.138329,-79.954789,-90,top
D38,oragne,D_0805_2012Metric,134.488329,-79.954788,-90,top
F1,500mA,Fuse_1206_3216Metric,117.237284,-86.513777,-90,top
J7,Conn_01x10,FCC 1x10 - JUSHUO AFC01-S10FCA-00,53.287033,-135.589443,90,top
Q1,AO3401A,SOT-23,112.72728,-86.598777,-90,top
R1,806k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.651989,-150.784961,180,top
R2,2M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.621985,-152.744961,0,top
R3,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.462234,-77.801815,90,top
R5,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.427284,-86.513775,-90,top
R6,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.187283,-86.513773,-90,top
R7,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.339371,-92.545834,180,top
R8,2R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.13833,-85.554784,0,top
R10,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,142.438326,-79.904786,90,top
R12,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.488329,-79.934784,-90,top
R13,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.088329,-79.934784,-90,top
R14,5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.339374,-90.14583,180,top
R15,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,137.347928,-94.211744,90,top
R16,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.723328,-97.764784,-90,top
SW4,ON_OFF,K3-2380S-E1 On-on,111.060386,-80.200503,180,top
SW37,SW_RESET,Micro_Push_Button_3x6x2.5mm,145.932235,-80.200501,-90,top
U2,TP4056,TP4056_SOP-8-PP,133.238329,-88.639786,0,top
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,118.008327,-97.729788,-90,top
U4,DW01A,SOT-23-6,133.570418,-97.05184,0,top
U5,FS8205,SOT-23-6,133.570424,-93.151844,180,top
U6,USBLC6-2SC6,SOT-23-6,123.887282,-86.513774,90,top
