Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,136.270037,-139.376338,0,top
C2,10uF,C_0805_2012Metric,110.470037,-139.37634,180,top
C3,10uF,C_0805_2012Metric,134.237941,-76.099285,180,top
C4,4.7uF,C_0805_2012Metric,123.022938,-89.439283,90,top
C5,4.7uF,C_0805_2012Metric,125.422943,-89.439285,90,top
C6,1uF,C_0805_2012Metric,120.572942,-89.439284,90,top
C7,10uF,C_0805_2012Metric,138.287945,-81.299283,90,top
C8,1uF,C_0805_2012Metric,117.12794,-83.519281,0,top
C9,100nF,C_0805_2012Metric,117.127945,-85.919283,0,top
C10,0.1uF,C_0805_2012Metric,136.437941,-89.059283,90,top
C11,1nF,C_0805_2012Metric,115.561842,-73.101311,90,top
D1,D,D_SOD-123,22.260038,-68.306339,-5.5,top
D2,D,D_SOD-123,20.640034,-85.206343,-5.5,top
D3,D,D_SOD-123,18.970033,-102.176338,-5.5,top
D4,D,D_SOD-123,49.840033,-63.026341,-17,top
D5,D,D_SOD-123,44.870036,-79.306341,-17,top
D6,D,D_SOD-123,39.890031,-95.556341,-17,top
D7,D,D_SOD-123,71.400036,-64.766342,-21,top
D8,D,D_SOD-123,65.270038,-80.616341,-21,top
D9,D,D_SOD-123,59.170034,-96.48634,-21,top
D10,D,D_SOD-123,78.770031,-80.17634,-21,top
D11,D,D_SOD-123,80.650032,-90.796341,-21,top
D12,D,D_SOD-123,74.530038,-106.706341,-21,top
D13,D,D_SOD-123,80.100032,-130.276342,-21,top
D14,D,D_SOD-123,95.570035,-86.576339,-21,top
D15,D,D_SOD-123,97.490028,-97.246339,-21,top
D16,D,D_SOD-123,91.400032,-113.066342,-21,top
D17,D,D_SOD-123,104.270033,-143.576341,0,top
D18,D,D_SOD-123,143.000031,-81.366341,21,top
D19,D,D_SOD-123,149.050037,-97.246343,21,top
D20,D,D_SOD-123,155.180035,-113.166341,21,top
D21,D,D_SOD-123,135.817469,-148.605784,-90,top
D22,D,D_SOD-123,159.820036,-74.94634,21,top
D23,D,D_SOD-123,165.890034,-90.826341,21,top
D24,D,D_SOD-123,171.990034,-106.656343,21,top
D25,D,D_SOD-123,166.480037,-130.256345,21,top
D26,D,D_SOD-123,175.140034,-64.736341,21,top
D27,D,D_SOD-123,181.220034,-80.666341,21,top
D28,D,D_SOD-123,187.350036,-96.53634,21,top
D29,D,D_SOD-123,196.650036,-63.036341,17,top
D30,D,D_SOD-123,201.660029,-79.296342,17,top
D31,D,D_SOD-123,206.580036,-95.566342,17,top
D32,D,D_SOD-123,224.350036,-68.26634,5.5,top
D33,D,D_SOD-123,225.900032,-85.15634,5.5,top
D34,D,D_SOD-123,227.580031,-102.136341,5.5,top
D36,D_Schottky_Small,D_SOD-323_HandSoldering,139.237943,-75.064282,180,top
D37,gween,D_0805_2012Metric,136.237942,-71.664287,-90,top
D38,oragne,D_0805_2012Metric,133.587942,-71.664287,-90,top
F1,500mA,Fuse_1206_3216Metric,116.336899,-78.223277,-90,top
J7,Conn_01x10,FCC 1x10 - JUSHUO AFC01-S10FCA-00,52.38665,-127.29894,90,top
Q1,AO3401A,SOT-23,111.826894,-78.308278,-90,top
R1,806k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.907472,-145.935787,180,top
R2,2M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.877468,-147.895788,0,top
R3,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.561848,-69.511314,90,top
R5,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.526897,-78.223275,-90,top
R6,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.286897,-78.223272,-90,top
R7,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.438985,-84.255333,180,top
R8,2R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.237945,-77.264284,0,top
R10,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,141.53794,-71.614284,90,top
R12,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.587944,-71.644283,-90,top
R13,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.187944,-71.644284,-90,top
R14,5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.438988,-81.855331,180,top
R15,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,136.437941,-85.399285,90,top
R16,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.822943,-89.474283,-90,top
SW4,ON_OFF,K3-2380S-E1 On-on,110.16,-71.91,180,top
SW37,SW_RESET,Micro_Push_Button_3x6x2.5mm,145.031849,-71.91,-90,top
U2,TP4056,TP4056_SOP-8-PP,132.337944,-80.349286,0,top
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,117.107943,-89.439286,-90,top
U4,DW01A,SOT-23-6,132.670033,-88.761339,0,top
U5,FS8205,SOT-23-6,132.670038,-84.861342,180,top
U6,USBLC6-2SC6,SOT-23-6,122.986896,-78.223275,90,top
